Closing_15,Closing_14,Closing_13,Closing_12,Closing_11,Closing_10,Closing_9,Closing_8,Closing_7,Closing_6,Closing_5,Closing_4,Closing_3,Closing_2,Closing_1,EMA_5_15,EMA_5_14,EMA_5_13,EMA_5_12,EMA_5_11,EMA_5_10,EMA_5_9,EMA_5_8,EMA_5_7,EMA_5_6,EMA_5_5,EMA_5_4,EMA_5_3,EMA_5_2,EMA_5_1,RSI_15,RSI_14,RSI_13,RSI_12,RSI_11,RSI_10,RSI_9,RSI_8,RSI_7,RSI_6,RSI_5,RSI_4,RSI_3,RSI_2,RSI_1,MACD_15,MACD_14,MACD_13,MACD_12,MACD_11,MACD_10,MACD_9,MACD_8,MACD_7,MACD_6,MACD_5,MACD_4,MACD_3,MACD_2,MACD_1,BB_upper_15,BB_upper_14,BB_upper_13,BB_upper_12,BB_upper_11,BB_upper_10,BB_upper_9,BB_upper_8,BB_upper_7,BB_upper_6,BB_upper_5,BB_upper_4,BB_upper_3,BB_upper_2,BB_upper_1,BB_lower_15,BB_lower_14,BB_lower_13,BB_lower_12,BB_lower_11,BB_lower_10,BB_lower_9,BB_lower_8,BB_lower_7,BB_lower_6,BB_lower_5,BB_lower_4,BB_lower_3,BB_lower_2,BB_lower_1,Action
208.547119140625,200.9628753662109,203.2321929931641,208.84571838378903,209.12440490722656,209.8609161376953,211.3339691162109,212.06056213378903,206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,215.32843028992443,210.53991198202,208.10400565240133,208.35124322953052,208.6089637887626,209.02628123840685,209.79551053100823,210.5505277319352,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,38.85642020814674,32.71990845540812,30.38091823945496,40.37540552819616,38.03642088258193,38.19710671714595,39.64533216047109,41.16033321301645,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,1.33345780773746,-0.0012761499542932,-0.8659651534036357,-1.08575690382375,-1.2233537160573178,-1.2584631008062672,-1.154120493980912,-1.001256381886634,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,225.5040761947296,226.9608364809103,227.59244279927768,227.71879019498263,227.8216446683464,227.84747338969007,227.6285416351501,227.402266025957,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,207.21651554111023,204.9764498960428,203.8989466660544,203.4968973660525,203.1004271700325,202.6396466664622,202.264376760846,201.99299917179687,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,-1
200.9628753662109,203.2321929931641,208.84571838378903,209.12440490722656,209.8609161376953,211.3339691162109,212.06056213378903,206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,210.53991198202,208.10400565240133,208.35124322953052,208.6089637887626,209.02628123840685,209.79551053100823,210.5505277319352,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,32.71990845540812,30.38091823945496,40.37540552819616,38.03642088258193,38.19710671714595,39.64533216047109,41.16033321301645,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,-0.0012761499542932,-0.8659651534036357,-1.08575690382375,-1.2233537160573178,-1.2584631008062672,-1.154120493980912,-1.001256381886634,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,226.9608364809103,227.59244279927768,227.71879019498263,227.8216446683464,227.84747338969007,227.6285416351501,227.402266025957,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,204.9764498960428,203.8989466660544,203.4968973660525,203.1004271700325,202.6396466664622,202.264376760846,201.99299917179687,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,-1
203.2321929931641,208.84571838378903,209.12440490722656,209.8609161376953,211.3339691162109,212.06056213378903,206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,199.7784423828125,208.10400565240133,208.35124322953052,208.6089637887626,209.02628123840685,209.79551053100823,210.5505277319352,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,208.1910963680846,30.38091823945496,40.37540552819616,38.03642088258193,38.19710671714595,39.64533216047109,41.16033321301645,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,45.9108736850282,-0.8659651534036357,-1.08575690382375,-1.2233537160573178,-1.2584631008062672,-1.154120493980912,-1.001256381886634,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,-1.114997278827019,227.59244279927768,227.71879019498263,227.8216446683464,227.84747338969007,227.6285416351501,227.402266025957,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,221.66730462830583,203.8989466660544,203.4968973660525,203.1004271700325,202.6396466664622,202.264376760846,201.99299917179687,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,199.7206928082176,-1
208.84571838378903,209.12440490722656,209.8609161376953,211.3339691162109,212.06056213378903,206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,199.7784423828125,195.84698486328125,208.35124322953052,208.6089637887626,209.02628123840685,209.79551053100823,210.5505277319352,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,208.1910963680846,204.07639253315017,40.37540552819616,38.03642088258193,38.19710671714595,39.64533216047109,41.16033321301645,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,45.9108736850282,33.971511348083794,-1.08575690382375,-1.2233537160573178,-1.2584631008062672,-1.154120493980912,-1.001256381886634,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,-1.114997278827019,-2.187100706719576,227.71879019498263,227.8216446683464,227.84747338969007,227.6285416351501,227.402266025957,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,221.66730462830583,222.4932980578332,203.4968973660525,203.1004271700325,202.6396466664622,202.264376760846,201.99299917179687,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,199.7206928082176,197.0931918103309,0
209.12440490722656,209.8609161376953,211.3339691162109,212.06056213378903,206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,199.7784423828125,195.84698486328125,196.2749481201172,208.6089637887626,209.02628123840685,209.79551053100823,210.5505277319352,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,208.1910963680846,204.07639253315017,201.4759110621392,38.03642088258193,38.19710671714595,39.64533216047109,41.16033321301645,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,45.9108736850282,33.971511348083794,34.21369740161184,-1.2233537160573178,-1.2584631008062672,-1.154120493980912,-1.001256381886634,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,-1.114997278827019,-2.187100706719576,-2.968004036212932,227.8216446683464,227.84747338969007,227.6285416351501,227.402266025957,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,221.66730462830583,222.4932980578332,222.3737341297197,203.1004271700325,202.6396466664622,202.264376760846,201.99299917179687,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,199.7206928082176,197.0931918103309,195.1634133922529,-1
209.8609161376953,211.3339691162109,212.06056213378903,206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,199.7784423828125,195.84698486328125,196.2749481201172,188.8599090576172,209.02628123840685,209.79551053100823,210.5505277319352,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,208.1910963680846,204.07639253315017,201.4759110621392,197.2705770606319,38.19710671714595,39.64533216047109,41.16033321301645,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,45.9108736850282,33.971511348083794,34.21369740161184,27.836119703331093,-1.2584631008062672,-1.154120493980912,-1.001256381886634,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,-1.114997278827019,-2.187100706719576,-2.968004036212932,-4.137512563893296,227.84747338969007,227.6285416351501,227.402266025957,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,221.66730462830583,222.4932980578332,222.3737341297197,221.9001337086532,202.6396466664622,202.264376760846,201.99299917179687,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,199.7206928082176,197.0931918103309,195.1634133922529,192.3047185862688,0
211.3339691162109,212.06056213378903,206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,199.7784423828125,195.84698486328125,196.2749481201172,188.8599090576172,191.567138671875,209.79551053100823,210.5505277319352,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,208.1910963680846,204.07639253315017,201.4759110621392,197.2705770606319,195.36943093104625,39.64533216047109,41.16033321301645,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,45.9108736850282,33.971511348083794,34.21369740161184,27.836119703331093,29.66828313127263,-1.154120493980912,-1.001256381886634,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,-1.114997278827019,-2.187100706719576,-2.968004036212932,-4.137512563893296,-4.790681696820116,227.6285416351501,227.402266025957,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,221.66730462830583,222.4932980578332,222.3737341297197,221.9001337086532,222.57235214237863,202.264376760846,201.99299917179687,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,199.7206928082176,197.0931918103309,195.1634133922529,192.3047185862688,189.93450210566823,1
212.06056213378903,206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,199.7784423828125,195.84698486328125,196.2749481201172,188.8599090576172,191.567138671875,195.5185089111328,210.5505277319352,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,208.1910963680846,204.07639253315017,201.4759110621392,197.2705770606319,195.36943093104625,195.4191235910752,41.16033321301645,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,45.9108736850282,33.971511348083794,34.21369740161184,27.836119703331093,29.66828313127263,34.043733798671695,-1.001256381886634,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,-1.114997278827019,-2.187100706719576,-2.968004036212932,-4.137512563893296,-4.790681696820116,-4.932620209835449,227.402266025957,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,221.66730462830583,222.4932980578332,222.3737341297197,221.9001337086532,222.57235214237863,222.84428721889583,201.99299917179687,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,199.7206928082176,197.0931918103309,195.1634133922529,192.3047185862688,189.93450210566823,189.1181303836432,-1
206.2180938720703,209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,199.7784423828125,195.84698486328125,196.2749481201172,188.8599090576172,191.567138671875,195.5185089111328,185.0179901123047,209.10638311198025,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,208.1910963680846,204.07639253315017,201.4759110621392,197.2705770606319,195.36943093104625,195.4191235910752,191.95207909815167,36.7074225655708,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,45.9108736850282,33.971511348083794,34.21369740161184,27.836119703331093,29.66828313127263,34.043733798671695,31.236738217270656,-1.3361465669996164,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,-1.114997278827019,-2.187100706719576,-2.968004036212932,-4.137512563893296,-4.790681696820116,-4.932620209835449,-5.825261624670389,226.8595601994807,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,221.66730462830583,222.4932980578332,222.3737341297197,221.9001337086532,222.57235214237863,222.84428721889583,224.35254815368944,201.07061100413256,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,199.7206928082176,197.0931918103309,195.1634133922529,192.3047185862688,189.93450210566823,189.1181303836432,185.7884491607637,1
209.7713317871093,212.1401824951172,213.17529296875,216.7783050537109,216.4697723388672,213.5734405517578,209.19406127929688,199.7784423828125,195.84698486328125,196.2749481201172,188.8599090576172,191.567138671875,195.5185089111328,185.0179901123047,190.8604736328125,209.3280326703566,210.26541594527683,211.23537495310129,213.0830183199712,214.21193632626984,213.9991044014325,212.39742336072064,208.1910963680846,204.07639253315017,201.4759110621392,197.2705770606319,195.36943093104625,195.4191235910752,191.95207909815167,191.5882106097053,41.84191414858275,45.6927526119558,49.35741815961865,50.00917474894869,44.17375185837479,56.56358108649331,61.730479427479246,45.9108736850282,33.971511348083794,34.21369740161184,27.836119703331093,29.66828313127263,34.043733798671695,31.236738217270656,33.914659863627776,-1.2998489972474374,-1.0676294887144877,-0.7909514942326155,-0.2777475260322148,0.1028882726675703,0.1688882769772703,-0.1306791633408011,-1.114997278827019,-2.187100706719576,-2.968004036212932,-4.137512563893296,-4.790681696820116,-4.932620209835449,-5.825261624670389,-5.9921727471966335,226.42716222380503,225.6617388080349,224.76624100894932,224.0648638179395,223.43017068522852,222.47342013987625,221.57052843440243,221.66730462830583,222.4932980578332,222.3737341297197,221.9001337086532,222.57235214237863,222.84428721889583,224.35254815368944,224.36783270142377,200.6769011917223,200.64508187067605,200.785136859703,201.0545484135058,201.29609274250572,201.58200435963548,201.5313911212616,199.7206928082176,197.0931918103309,195.1634133922529,192.3047185862688,189.93450210566823,189.1181303836432,185.7884491607637,183.9746401379317,-1
