Date,Closing,Volume,EMA_5,RSI,MACD,BB_upper,BB_lower,Price_Difference
2020-01-30,72.36651611328125,27110000,72.42367147126339,60.49581728878872,1.0188141933458184,75.10859385701448,67.84082096842496,
2020-01-31,71.2981185913086,43822000,72.04848717794513,51.08237144259717,0.8725393852849095,74.90816338250914,68.36022574712953,-1.0683975219726562
2020-02-03,73.77727508544922,71636000,72.62474981377983,59.89030325827392,0.9457606162765018,74.78691522931058,69.08399388934177,2.479156494140625
2020-02-04,71.92662811279297,95880000,72.39204258011755,53.04988250023348,0.8447198209010196,74.67720228585253,69.43057511893264,-1.85064697265625
2020-02-05,71.9584732055664,36376000,72.24751945526717,51.45752498367262,0.7584707171568539,74.49569802719091,69.86556829971337,0.0318450927734375
2020-02-06,73.4473648071289,37822000,72.64746790588775,55.08175422475816,0.8010250717023695,74.47563904982883,70.23859129685087,1.4888916015625
2020-02-07,73.60359954833984,28360000,72.96617845337178,49.90995370105437,0.8377000573636622,74.53232730242196,70.4770904221874,0.1562347412109375
2020-02-10,75.07408142089844,38302000,73.66881277588067,55.18761895583877,0.974190978329588,74.92220349217207,70.48381915187089,1.4704818725585938
2020-02-11,75.14374542236328,34852000,74.16045699137487,55.14888060736199,1.0755836603618718,75.29005669853372,70.46444922187645,0.06966400146484375
2020-02-12,75.57020568847656,31042000,74.63037322374211,56.47516020297251,1.1767846300729872,75.65489658921055,70.53771434218592,0.42646026611328125
2020-02-13,75.3094482421875,22914000,74.85673156322392,59.48956634214066,1.221861324244415,75.92168278554784,70.64011302133692,-0.2607574462890625
2020-02-14,75.57518005371094,23198000,75.09621439338626,69.79970355400229,1.2644514562182536,76.22571772515275,70.67729664862654,0.2657318115234375
2020-02-18,75.61051177978516,25642000,75.26764685551923,67.09479531714646,1.2862285753008962,76.48847889856329,70.61318583532342,0.03533172607421875
2020-02-19,75.8807144165039,22746000,75.4720027091808,66.96866563523969,1.310187171524987,76.77393022086535,70.53982023689831,0.27020263671875
2020-02-20,75.48859405517578,25962000,75.4775331578458,65.2060271631087,1.2827469867908974,76.96212217480632,70.51644151537923,-0.392120361328125
2020-02-21,73.82006072998047,42520000,74.92504234855735,61.60467787641935,1.1135276937581151,76.95861012580373,70.5138325011494,-1.6685333251953125
2020-02-24,70.65519714355469,49560000,73.50176061355647,36.48657662935329,0.7157909507980946,77.11376150465553,70.12823297166283,-3.1648635864257812
