Model,Buy&Hold
10000.0,10000.000000000002
10063.4302444458,10066.191487113794
9770.298501968387,9780.401827120824
9522.580839157106,9725.072302552055
9200.991264343262,9455.948980129848
9247.609085083008,9491.422584222344
10516.53952026367,9698.66534661994
10351.86779022217,9512.505743816566
10446.389808654785,9623.622554303392
10319.95319366455,9636.723494269017
10090.149353027344,9511.190483254184
10363.42943572998,9532.531623654218
10618.96520233154,9835.0427213924
10408.025428771965,9824.465816848446
10083.940420150753,9706.284413208105
10088.402528762814,9747.16927748439
9777.938405990597,9531.160513825136
9581.659179687496,9401.667255918554
9582.075155258173,9497.910764443917
9582.075155258173,9864.692000930881
9672.374486923212,9964.861419415234
10017.874668121334,10330.636999479666
10035.988086700436,10253.657092255302
10030.414661407467,10264.044113998367
10337.168338775631,10538.165494250037
10337.168338775631,10420.178585132951
10482.982673645016,10580.337947774507
10344.640174865719,10573.020783043603
10257.356555938717,10455.2503194833
10250.156528472897,10367.679044931218
10566.206752777098,10578.010315476087
10749.956752777098,10683.19021438841
10749.956752777098,10930.869690351383
10681.84065055847,10868.03051386147
10563.580518722534,10856.564665874665
10181.197397232054,10670.00745137291
10156.357034683224,10833.292439916591
10126.65686988831,10788.05245043855
10249.776803970337,10676.278042174776
10249.083826065063,10549.165179205034
10249.083826065063,10826.216869575375
10264.995040893555,10848.066396440869
10264.995040893555,10829.959542190016
10258.504787445068,10825.780127851089
10258.504787445068,10834.440102737311
10048.349575042725,10630.18451349468
10048.349575042725,10673.858819701978
10003.823818206787,10630.599212322719
10003.823818206787,10394.129609315674
10125.724266052246,10543.387196535838
10544.324424743652,11057.280251200864
10544.324424743652,11090.187970612038
10544.779949188232,11107.621112115803
10544.779949188232,11006.03608600292
10499.523139953613,10951.28154913806
10421.572805404665,10896.430086455239
10421.572805404665,11157.752647499492
10486.948402404787,11227.21359145624
10481.09630584717,11154.077867748614
10542.403343200685,11329.311471019962
10609.562156677248,11447.389311522564
10547.976329803469,11360.730629150368
10534.042980194094,11424.21701864003
10751.843608856201,11530.017442372553
10938.374752044678,11740.814386833857
11150.37487411499,12003.375757085745
10971.774730682373,11961.978614721358
10956.384191513062,12060.234642033254
10831.725616455078,11902.412902371785
10877.48567199707,11888.49984553328
13525.11752319336,12478.058079000888
13525.11752319336,12821.77014548958
13688.283740997314,12969.232493071577
13715.983631134033,12821.139427618537
13751.88374710083,13121.689650209923
13686.669429779053,13196.61173893511
13723.069423675537,13227.36813878357
13723.069423675537,13241.332830246385
13419.568866729736,12913.680203472593
14026.678470611574,13129.55067056349
14589.53807449341,13215.11894873747
14909.908542633057,13464.410181505778
14909.908542633057,13635.52466807175
15027.84684753418,13777.64067037162
14976.225997924807,13924.952553089382
15245.34684753418,13865.093618413786
16052.127059936523,14031.923871137808
16052.127059936523,13775.14033869184
16335.558311462402,14011.121672618177
16335.5583114624,13884.627987864102
15854.480052947998,13462.668372482263
15922.862678527832,13754.775195230994
15922.862678527832,13778.488205959997
15846.29503250122,13705.137381463986
16106.764362335205,13983.88739440503
17207.815479278564,14079.844871614077
17370.075702667236,14178.993125198085
17007.735553741455,14073.430544298602
16879.024585723877,14051.219336094688
16585.004138946533,13895.192830649186
16596.435306549072,13976.248010670512
16735.122734069824,14269.021012648134
17095.632957458496,14641.624121699646
17307.91362762451,14631.37362503421
17856.91362762451,14774.188440538863
18038.505546569824,14916.285415595532
17910.79281616211,14907.350002650524
16180.831848144531,14327.737426821317
16180.831848144531,14152.482766542817
16276.15746307373,14232.175009760904
16276.15746307373,14349.576024293388
16334.07933807373,14392.775888283995
16334.07933807373,14420.510747880971
16781.1883392334,14825.680260684785
16781.1883392334,14792.416791622194
16685.74409866333,14716.102713823464
15983.398120880127,14289.902236613596
16072.15396118164,14325.349831608935
16072.15396118164,14346.55686175497
16211.05009841919,14494.893870751464
15980.006084442139,14357.733982227595
15332.589572906496,14024.686712732788
15332.589572906496,14052.346368461986
15189.39424133301,13892.309198027146
15189.39424133301,14178.32141123597
15002.781654357912,14014.550824133603
15002.781654357912,13809.191440242994
14825.891666412355,13643.73032211732
14812.578983306887,13555.28107505037
16066.352413177494,14019.998025093475
15622.33584213257,13954.537652183706
15622.33584213257,14250.723215885364
15312.692863464357,13974.189627888103
15258.907604217531,14009.998328879732
15529.184791564945,14134.187961633277
16173.951942443848,14583.016475427696
16173.951942443848,14645.035176155987
16243.460243225098,14708.156696256077
16267.136924743652,14583.703238480122
16267.136924743652,14712.077333029525
16011.26399230957,14466.654020148111
15984.174453735353,14390.752719563889
15795.804107666016,14373.693528432568
17375.84326171875,14705.73054555109
16991.544799804688,14486.109840495801
16991.544799804688,14653.182499743669
17141.92295074463,14791.893655739037
17039.623329162598,14460.986925332962
17039.623329162598,14448.620947934516
17014.683124542236,14421.142906861247
16584.467670440674,14098.246508717863
16105.663440704346,13787.493160292373
16338.014179229736,13766.029047080854
16577.80434036255,13891.082866307926
16455.9503364563,13656.072783854252
16674.19234085083,13675.152901481122
16917.513050079346,13837.068712398179
17078.159717559814,13869.412683517943
17580.862812042236,14150.4586608848
17085.208850860596,13839.105389506554
17290.524951934814,14124.802765175737
17290.524951934814,14147.52285625173
17612.100036621094,14434.707541918568
17612.100036621094,14466.26261615164
17699.25329208374,14552.471827899826
18035.770931243896,14764.203132141432
18082.77624130249,14700.765304628927
17900.833278656006,14383.950095557238
17900.833278656006,14584.460292811204
17778.999305725098,14455.436551353056
17778.999305725098,14111.054279422511
17518.938194274902,13921.486373333733
17259.159965515137,13661.100028127492
17836.924430847168,13851.792828747963
18122.311336517334,13987.305999478738
17340.812751770023,13468.277172688036
16738.099910736084,13060.201537494737
16810.27657699585,13286.229812569729
16005.136379241945,13471.445562770472
16287.01603317261,13468.864766612896
16287.01603317261,13845.873217592836
16580.838947296146,14075.849287878535
17085.23692703247,14255.653380637053
17320.730449676514,14384.426410016416
17419.2140083313,14539.798428819135
17419.2140083313,14613.685952194775
17236.16132736206,14497.292644153056
17236.16132736206,14845.697285759423
17289.132999420166,14876.400246741721
17289.132999420166,15203.824608717414
17265.309051513672,15148.427940879235
17172.809051513672,15213.77603222848
17224.639541625977,15189.641479300266
17319.53976440429,15391.340900688981
17728.339096069336,15325.030821442342
17218.06980895996,15331.592672514276
17218.06980895996,15214.131671647521
17239.041984558105,15233.850473096494
17345.44197845459,15343.703834927315
17164.84185028076,15218.342442222714
16880.6420211792,15030.531678139896
16793.137020111084,14995.279589513499
16564.382606506348,14740.967785556566
16785.24217224121,14925.024866364218
16784.179569244385,14778.18950318807
17075.84588241577,15108.986883115396
17384.43377304077,15232.145313658284
17355.733837127686,15003.230392992189
17682.57261276245,15161.634353064583
17827.33597946167,15258.77208646071
17827.33597946167,15269.722401720828
17974.771892547607,15400.834820223434
17960.571910858154,15643.66781409364
17866.342082977295,15716.891651805821
17305.870769500732,15514.422413013355
17379.470775604248,15727.731971508765
17246.19031906128,15704.346653119635
17522.949779510498,15767.113670191018
17851.390941619873,15812.01021898341
17289.710277557373,15774.9458893907
16970.1104850769,15673.567349297042
16966.03065109253,15384.244402151584
16288.070568084717,15240.375435529024
16253.139122009277,15154.559931909394
16254.237701416016,15250.178684194827
17298.481689453125,15700.14702048509
17591.970443725582,15774.318347160082
17992.328620910648,16047.105123546698
17992.328620910648,16046.217125005964
17952.671745300297,16044.743922493231
17952.671745300297,16064.53829331556
17836.80438613892,15972.24806628737
17836.80438613892,16209.519589594207
18133.99237442017,16541.198717543648
18093.31238174439,16511.37213559235
18097.392337799076,16612.88508830117
18081.67236709595,16790.601371824378
18081.67236709595,16723.74599817704
18071.200736999515,16702.256049913514
18823.840019226078,16973.449278572945
18888.5203781128,16885.69359774414
18467.12007904053,16381.557617250173
18620.980796813972,16652.853681714743
18527.881095886227,17707.615762553443
17856.580497741696,17719.955805918085
18252.501335144043,17645.24437899847
