Model,Buy&Hold
10000.0,10000.000000000002
10159.196617126465,10169.690051102865
10324.013046264648,10937.096990666076
10416.352584838867,10826.768073467798
10680.816513061529,10853.401661867785
10680.816513061529,11057.0405071603
10515.804489135748,10878.262950206325
10456.722465515142,10748.318175618073
10830.52312469483,10668.443574417324
10847.77280426026,10805.998269155678
10847.77280426026,10925.920068048266
10969.737678527837,11046.620652810712
10969.737678527837,10752.613008643108
10948.262680053716,10742.453441442813
10656.168121337896,10427.821460499048
10436.057685852056,10414.635650843244
10497.768028259281,10698.400076961161
10233.077903747562,10529.800947821204
10233.077903747562,10648.292753903943
10257.486030578617,10675.266611351371
10142.106452941898,10549.59457799936
10288.455200195316,10552.390958439604
10653.625167846682,10921.232204908729
10659.541168212892,10994.72514847912
10750.415840148928,10898.264314190534
11092.415847778322,10938.603275092904
11588.541069030764,10840.977358527954
10945.91621398926,10619.602571197458
10726.666488647463,10682.4166013384
11494.041481018068,11156.349707654137
11365.916290283203,11225.672864812006
10997.916259765627,11462.463300769956
10984.54097747803,11351.592823983308
11061.791458129885,11371.715169358593
11179.666557312014,11674.320580685453
11301.416435241701,11549.071695372862
11434.29092407227,11699.264076358108
11791.04141235352,11785.436145951087
11880.166091918949,11694.742538889543
11575.040855407717,11552.226764295378
11286.166229248049,11691.447708658045
11299.416580200199,11782.522830450882
11300.291099548342,12031.115093274628
11186.416664123537,11919.888335823833
11125.415840148928,11927.436160648132
10743.041076660158,11690.478395225746
11005.916633605959,11900.118218122887
10896.541633605959,11796.77903859616
10674.165763854982,11669.436503349329
10884.791412353517,11615.336979398122
11331.91589355469,11996.30674622212
11028.165855407717,11941.998704857097
10755.041160583498,11860.71980713094
10931.791343688967,11843.550770618476
10509.29168701172,11749.99467300272
10588.790931701662,11580.112374789433
9529.915847778322,11430.027957677838
9944.665946960451,11461.432391858956
10307.79079437256,11328.558287569527
9964.541473388674,11373.293336058085
10333.91670227051,11997.191259428473
10971.791305541994,12126.66762541753
10974.54170227051,12074.304295620166
10805.16628265381,11976.584422035296
10385.041275024416,11866.31019143319
10732.041397094728,11884.50992698301
11103.541412353517,12161.25960233879
11522.416152954103,12278.385493301956
11324.166336059574,12199.661735145943
11306.416549682619,12350.10254463724
11098.291435241701,12453.794988674028
11239.666023254396,12397.800449844657
11304.791488647465,12441.076883949456
11424.416580200199,12550.885830329173
11833.665885925293,12792.618307315628
12039.70580291748,12968.333965465563
12260.70580291748,12913.468734869413
12260.70580291748,13086.369504477367
12142.33895111084,12962.675183266683
12054.600440979006,12947.771118393975
12747.107109069824,13289.846203407362
12981.457038879395,13663.735924982084
13752.913108825684,13920.089316301317
13891.464530944828,13941.706373036488
13640.275047302246,14043.638920260606
13572.649299621582,14136.206732543691
14071.312072753906,14300.10325595918
14241.211669921875,14380.902443314817
14733.912322998047,14254.783144315883
14650.112121582031,14391.05350514219
14636.802047729492,14473.452259994701
14745.944099426271,14718.540273317458
14639.464431762697,14787.697148221136
15158.55361938477,14907.341418121676
15692.164062500002,15194.538218346974
15966.834579467775,15187.275251271843
15857.93347167969,15287.351403991877
16414.534210205078,15156.167508366521
15833.733840942385,15297.553042897127
15324.323951721193,15119.198281053228
14300.664062500002,14563.335686404444
15266.243545532228,14990.524718269662
15303.75417327881,15074.461846248854
15012.143730163574,14961.291913732088
14957.694099426271,15156.567193996076
15049.654357910156,15284.706312055958
14852.423767089847,15368.284046710092
15531.233840942385,15395.293703603536
15234.784210205078,15284.02266443224
15521.553619384767,15200.166513756489
15906.334579467775,15345.474027466498
16333.464431762697,15647.946391307853
15424.75417327881,15733.644380557798
15647.394653320314,15795.095941824575
15550.594284057619,15876.85811299908
15298.914062500002,15921.786158523819
14286.143730163574,15750.23099639959
14661.243545532228,15274.708261484951
14278.884025573732,15082.468220729595
14957.694099426271,15280.283861617101
14842.743545532228,15311.953014763116
13833.603988647463,15174.497609183107
13595.233840942385,15134.140142533215
13689.613693237308,15543.472502251436
13511.743545532228,15466.559484935864
12560.684394836428,15224.263696621332
14168.773582458498,15213.446133612182
13223.763877868654,15059.781206586576
12989.023582458498,15005.095739172291
12163.80361938477,14954.376879659883
12623.603988647463,14941.287263832985
11977.464431762697,14594.364684221768
12710.72413635254,14775.473541349289
12684.103988647463,14694.484512734363
