Model,Buy&Hold
10000.0,10000.000000000002
10159.196617126465,10169.690051102865
10261.049629211426,10937.096990666076
10261.049629211426,10826.768073467798
10285.483695983887,10853.401661867785
10285.483695983887,11057.0405071603
10134.977890014648,10878.262950206325
10134.977890014648,10748.318175618073
10077.574653625488,10668.443574417324
10077.574653625488,10805.998269155678
10179.628707885742,10925.920068048266
10179.628707885742,11046.620652810712
9932.036178588867,10752.613008643108
9932.036178588867,10742.453441442813
9662.277793884277,10427.821460499048
9662.277793884277,10414.635650843244
9907.66805267334,10698.400076961161
9907.66805267334,10529.800947821204
10011.180015563965,10648.292753903943
10023.660255432129,10675.266611351371
10023.660255432129,10549.59457799936
10028.540512084961,10552.390958439604
10196.092834472656,10921.232204908729
10196.092834472656,10994.72514847912
10107.818710327148,10898.264314190534
10107.818710327148,10938.603275092904
10003.940841674805,10840.977358527954
10003.940841674805,10619.602571197458
10070.332832336426,10682.4166013384
10070.332832336426,11156.349707654137
10139.47248840332,11225.672864812006
10436.036819458008,11462.463300769956
10525.059524536133,11351.592823983308
10525.059524536133,11371.715169358593
10804.52823638916,11674.320580685453
10804.52823638916,11549.071695372862
10931.973854064941,11699.264076358108
10931.973854064941,11785.436145951087
10851.449821472168,11694.742538889543
10830.489860534668,11552.226764295378
10868.009880065918,11691.447708658045
10868.009880065918,11782.522830450882
11087.250968933105,12031.115093274628
11087.250968933105,11919.888335823833
11096.347343444824,11927.436160648132
11096.347343444824,11690.478395225746
11279.828742980957,11900.118218122887
11279.828742980957,11796.77903859616
11165.290153503418,11669.436503349329
11165.290153503418,11615.336979398122
11516.876281738281,11996.30674622212
11516.876281738281,11941.998704857097
11449.219680786133,11860.71980713094
11449.219680786133,11843.550770618476
11379.314468383789,11749.99467300272
11379.314468383789,11580.112374789433
11268.716514587402,11430.027957677838
11268.716514587402,11461.432391858956
11141.987007141113,11328.558287569527
11711.478401184082,11373.293336058085
11981.52320098877,11997.191259428473
11981.52320098877,12126.66762541753
11911.180381774902,12074.304295620166
11900.785026550293,11976.584422035296
11889.994010925293,11866.31019143319
11889.994010925293,11884.50992698301
12173.292152404785,12161.25960233879
12173.292152404785,12278.385493301956
12099.745002746582,12199.661735145943
12163.709938049316,12350.10254463724
12240.462989807129,12453.794988674028
12255.431373596191,12397.800449844657
12255.431373596191,12441.076883949456
12364.04328918457,12550.885830329173
12383.898216247559,12792.618307315628
12383.898216247559,12968.333965465563
12346.75528717041,12913.468734869413
12346.75528717041,13086.369504477367
12228.38843536377,12962.675183266683
12228.38843536377,12947.771118393975
12508.430183410645,13289.846203407362
12508.430183410645,13663.735924982084
12720.97386932373,13920.089316301317
12720.97386932373,13941.706373036488
12825.452102661133,14043.638920260606
12825.452102661133,14136.206732543691
12955.611587524414,14300.10325595918
12955.611587524414,14380.902443314817
12819.904006958008,14254.783144315883
12819.904006958008,14391.05350514219
12888.52017211914,14473.452259994701
12888.52017211914,14718.540273317458
12950.277000427246,14787.697148221136
13034.523094177246,14907.341418121676
13034.523094177246,15194.538218346974
13010.144157409668,15187.275251271843
13010.144157409668,15287.351403991877
12884.615676879883,15156.167508366521
12884.615676879883,15297.553042897127
12751.047065734863,15119.198281053228
12751.047065734863,14563.335686404444
13066.196319580078,14990.524718269662
13066.196319580078,15074.461846248854
12985.82666015625,14961.291913732088
12985.82666015625,15156.567193996076
13092.818641662598,15284.706312055958
13092.818641662598,15368.284046710092
13094.025001525879,15395.293703603536
13094.025001525879,15284.02266443224
12992.21467590332,15200.166513756489
12992.21467590332,15345.474027466498
13214.235725402832,15647.946391307853
13297.98542022705,15733.644380557798
13297.98542022705,15795.095941824575
13359.193740844727,15876.85811299908
13266.904235839844,15921.786158523819
12396.42395019531,15750.23099639959
12396.42395019531,15274.708261484951
12279.8350982666,15082.468220729595
12279.8350982666,15280.283861617101
12311.415573120115,15311.953014763116
11800.965515136717,15174.497609183107
11800.965515136717,15134.140142533215
12096.629608154297,15543.472502251436
11985.416870117184,15466.559484935864
11247.775535583492,15224.263696621332
11247.775535583492,15213.446133612182
11166.670555114742,15059.781206586576
11093.86330413818,15005.095739172291
11093.86330413818,14954.376879659883
11085.736457824703,14941.287263832985
11085.736457824703,14594.364684221768
11213.419502258297,14775.473541349289
11213.419502258297,14694.484512734363
11357.537155151364,14901.113335341135
11339.025741577145,14871.21995391175
11302.847961425778,14716.312253750564
11162.524780273434,14640.80015552909
11193.657592773434,14588.003820556229
11193.657592773434,14983.484438589465
11179.70680236816,14936.08997757428
11179.70680236816,15188.651406903067
10907.53720092773,14775.911467315229
10908.731597900387,15023.32000669142
10908.731597900387,15039.199223932374
11187.719970703121,15449.003667106885
