Date,Closing,Volume
2020-01-02,5.972160816192627,237536000
2020-01-03,5.876571178436279,205384000
2020-01-06,5.901216983795166,262636000
2020-01-07,5.972658157348633,314856000
2020-01-08,5.983860492706299,277108000
2020-01-09,6.0495805740356445,255112000
2020-01-10,6.081941604614258,316296000
2020-01-13,6.2726240158081055,319840000
2020-01-14,6.15562629699707,359088000
2020-01-15,6.113056659698486,263104000
2020-01-16,6.196699142456055,284192000
2020-01-17,6.205411434173584,253792000
2020-01-21,6.172055244445801,217916000
2020-01-22,6.226073741912842,239240000
2020-01-23,6.294530391693115,244516000
2020-01-24,6.235283851623535,373512000
2020-01-27,5.979381084442139,470536000
2020-01-28,6.172801494598389,310976000
2020-01-29,6.112310409545898,258848000
2020-01-30,6.119032382965088,290504000
2020-01-31,5.885533332824707,370420000
2020-02-03,5.98261833190918,255564000
2020-02-04,6.151890754699707,271544000
2020-02-05,6.242252826690674,208220000
2020-02-06,6.329132556915283,218284000
2020-02-07,6.26291561126709,189752000
2020-02-10,6.546201229095459,529608000
2020-02-11,6.66867733001709,638556000
2020-02-12,6.784430980682373,374644000
2020-02-13,6.740618705749512,528016000
2020-02-14,7.213841438293457,1041924000
2020-02-18,7.382616996765137,620164000
2020-02-19,7.833935260772705,694332000
2020-02-20,7.684575080871582,810052000
2020-02-21,7.320384979248047,768180000
2020-02-24,6.802851676940918,856916000
2020-02-25,6.523299694061279,1055496000
2020-02-26,6.662702560424805,747732000
2020-02-27,6.2918195724487305,906416000
2020-02-28,6.726966857910156,1133252000
2020-03-02,6.885382175445557,890744000
2020-03-03,6.622849464416504,652792000
2020-03-04,7.08664083480835,597408000
2020-03-05,6.807170867919922,540328000
2020-03-06,6.626585006713867,515412000
2020-03-09,6.113475799560547,614160000
2020-03-10,6.5030412673950195,580648000
2020-03-11,6.13913106918335,499964000
2020-03-12,5.387899875640869,816540000
2020-03-13,5.998898506164551,634836000
2020-03-16,4.891976833343506,726972000
2020-03-17,5.411810874938965,833632000
2020-03-18,5.051886558532715,874268000
2020-03-19,5.30470609664917,765512000
2020-03-20,5.124868869781494,804636000
2020-03-23,5.297731399536133,643876000
2020-03-24,6.2066330909729,1101644000
2020-03-25,6.117959499359131,793432000
2020-03-26,6.407392978668213,696108000
2020-03-27,6.295056343078613,638828000
