Date,Closing,Volume
2020-01-02,94.90049743652344,80580000
2020-01-03,93.74849700927734,75288000
2020-01-06,95.1439971923828,81236000
2020-01-07,95.34300231933594,80898000
2020-01-08,94.59850311279295,70160000
2020-01-09,95.05249786376952,63346000
2020-01-10,94.15799713134766,57074000
2020-01-13,94.56500244140624,55616000
2020-01-14,93.47200012207033,68818000
2020-01-15,93.10099792480467,57932000
2020-01-16,93.89700317382812,53190000
2020-01-17,93.23600006103516,79946000
2020-01-21,94.5999984741211,74156000
2020-01-22,94.3730010986328,64326000
2020-01-23,94.22899627685548,49692000
2020-01-24,93.08200073242188,75324000
2020-01-27,91.41699981689452,70570000
2020-01-28,92.6624984741211,56160000
2020-01-29,92.9000015258789,41760000
2020-01-30,93.53399658203124,126548000
2020-01-31,100.43599700927734,311346000
2020-02-03,100.20999908447266,117834000
2020-02-04,102.4834976196289,105786000
2020-02-05,101.99349975585938,87524000
2020-02-06,102.5114974975586,63660000
2020-02-07,103.96399688720705,101906000
2020-02-10,106.69550323486328,101124000
2020-02-11,107.54000091552734,114920000
2020-02-12,108.0,66686000
2020-02-13,107.49349975585938,60636000
2020-02-14,106.74349975585938,52124000
2020-02-18,107.78350067138672,58912000
2020-02-19,108.51100158691406,51224000
2020-02-20,107.65499877929688,62626000
2020-02-21,104.79850006103516,92926000
2020-02-24,100.4645004272461,130940000
2020-02-25,98.63700103759766,124382000
2020-02-26,98.97949981689452,104492000
2020-02-27,94.21499633789062,162880000
2020-02-28,94.1875,189620000
2020-03-02,97.69750213623048,135234000
2020-03-03,95.44950103759766,150690000
2020-03-04,98.79149627685548,95458000
2020-03-05,96.20149993896484,94964000
2020-03-06,95.05449676513672,105472000
2020-03-09,90.03050231933594,156264000
2020-03-10,94.59100341796876,142666000
2020-03-11,91.04299926757812,112496000
2020-03-12,83.83049774169922,226924000
2020-03-13,89.25,176194000
2020-03-16,84.4574966430664,178346000
2020-03-17,90.39199829101562,218342000
2020-03-18,91.5,192904000
2020-03-19,94.04650115966795,207998000
2020-03-20,92.30449676513672,196358000
2020-03-23,95.1415023803711,156170000
2020-03-24,97.00499725341795,142942000
2020-03-25,94.29199981689452,129582000
2020-03-26,97.77449798583984,124426000
2020-03-27,95.00499725341795,107758000
2020-03-30,98.19750213623048,122522000
2020-03-31,97.48600006103516,102472000
2020-04-01,95.38500213623048,82438000
2020-04-02,95.94149780273438,86720000
2020-04-03,95.32949829101562,72198000
2020-04-06,99.87950134277344,115464000
2020-04-07,100.58000183105467,102280000
2020-04-08,102.1500015258789,79546000
2020-04-09,102.13800048828124,92930000
2020-04-13,108.44349670410156,134334000
2020-04-14,114.16600036621094,161744000
2020-04-15,115.38400268554688,137332000
2020-04-16,120.40950012207033,240764000
2020-04-17,118.75,158600000
2020-04-20,119.68049621582033,115414000
2020-04-21,116.40599822998048,149534000
2020-04-22,118.17449951171876,84244000
2020-04-23,119.97250366210938,101332000
2020-04-24,120.51100158691406,76498000
2020-04-27,118.8000030517578,112912000
2020-04-28,115.7040023803711,105388000
2020-04-29,118.635498046875,91832000
2020-04-30,123.6999969482422,190692000
2020-05-01,114.302001953125,195452000
2020-05-04,115.79949951171876,97318000
2020-05-05,115.88999938964844,64850000
2020-05-06,117.56300354003906,62356000
2020-05-07,118.38050079345705,67928000
2020-05-08,118.98049926757812,64132000
2020-05-11,120.4499969482422,65184000
2020-05-12,117.84750366210938,61498000
2020-05-13,118.39600372314452,95658000
2020-05-14,119.44249725341795,72962000
2020-05-15,120.48899841308594,84700000
2020-05-18,121.31300354003906,87144000
2020-05-19,122.46649932861328,86410000
2020-05-20,124.89700317382812,79962000
2020-05-21,122.33699798583984,102288000
2020-05-22,121.84400177001952,57342000
